,Area Code,Local Authority Name,Area name,Area of Domestic Buildings,Area of Domestic Gardens,Area of Non Domestic Buildings,Area of Road,Area of Rail,Area of Path,Area of Greenspace,Area of Water,Area of Other Land Uses,Area of Unclassified Land,Total Area of All Land Types,Area of Admin Geography,% Area of Domestic Buildings,% Area of Domestic Gardens,% Area of Non Domestic Buildings,% Area of Road,% Area of Rail,% Area of Path,% Area of Greenspace,% Area of Water,% Area of Other Land Uses,% Area of Unclassified Land,% Total Area of All Land Types,Quality of Fit Indicator,Cluster
447,00BAGQ,Merton,Village,325.33,1333.53,116.34,419.57,0.0,30.63,3803.96,109.5,208.84,0.0,6347.71,6217.51,5.1,21.0,1.8,6.6,0.0,0.5,59.9,1.7,3.3,0.0,100.0,2.09,4
448,00BAGR,Merton,West Barnes,204.0,611.92,78.77,257.31,12.9,20.16,609.11,3.67,161.13,0.0,1958.97,1951.21,10.4,31.2,4.0,13.1,0.7,1.0,31.1,0.2,8.2,0.0,100.0,0.4,2
449,00BAGS,Merton,Wimbledon Park,225.94,562.21,162.45,253.49,69.91,26.72,508.1,18.82,308.45,0.0,2136.08,2299.96,10.6,26.3,7.6,11.9,3.3,1.3,23.8,0.9,14.4,0.0,100.0,-7.13,0
450,00BBGB,Newham,Beckton,233.67,377.4,372.89,631.36,105.83,75.16,2380.1,376.76,1239.55,0.0,5792.71,6256.12,4.0,6.5,6.4,10.9,1.8,1.3,41.1,6.5,21.4,0.0,100.0,-7.41,0
451,00BBGC,Newham,Boleyn,205.8,294.18,63.47,220.88,11.46,9.45,63.3,0.0,56.7,0.0,925.24,916.43,22.2,31.8,6.9,23.9,1.2,1.0,6.8,0.0,6.1,0.0,100.0,0.96,3
452,00BBGD,Newham,Canning Town North,239.36,283.18,278.69,422.51,48.98,35.49,631.31,81.59,496.29,0.0,2517.4,2523.14,9.5,11.2,11.1,16.8,1.9,1.4,25.1,3.2,19.7,0.0,100.0,-0.23,0
453,00BBGE,Newham,Canning Town South,185.74,249.95,99.87,397.01,47.69,22.29,315.25,186.15,249.57,0.0,1753.52,1817.35,10.6,14.3,5.7,22.6,2.7,1.3,18.0,10.6,14.2,0.0,100.0,-3.51,0
454,00BBGF,Newham,Custom House,205.56,345.19,152.97,377.53,34.25,51.93,515.41,195.8,232.77,0.0,2111.42,2062.81,9.7,16.3,7.2,17.9,1.6,2.5,24.4,9.3,11.0,0.0,100.0,2.36,0
455,00BBGG,Newham,East Ham Central,207.39,283.01,96.88,233.25,12.3,15.17,113.71,0.13,72.8,0.0,1034.65,1038.88,20.0,27.4,9.4,22.5,1.2,1.5,11.0,0.0,7.0,0.0,100.0,-0.41,3
457,00BBGJ,Newham,East Ham South,228.79,400.8,43.26,313.43,0.0,20.95,667.55,29.28,113.01,0.0,1817.07,1811.63,12.6,22.1,2.4,17.2,0.0,1.2,36.7,1.6,6.2,0.0,100.0,0.3,2
458,00BBGK,Newham,Forest Gate North,244.29,408.35,42.96,245.85,28.33,15.91,170.76,1.78,84.28,0.0,1242.51,1245.54,19.7,32.9,3.5,19.8,2.3,1.3,13.7,0.1,6.8,0.0,100.0,-0.24,3
459,00BBGL,Newham,Forest Gate South,238.71,431.37,101.09,246.13,11.05,8.34,39.64,0.0,110.69,0.0,1187.01,1191.92,20.1,36.3,8.5,20.7,0.9,0.7,3.3,0.0,9.3,0.0,100.0,-0.41,3
460,00BBGM,Newham,Green Street East,198.43,285.61,39.28,163.69,0.05,0.55,11.28,0.0,36.24,0.0,735.14,742.73,27.0,38.9,5.3,22.3,0.0,0.1,1.5,0.0,4.9,0.0,100.0,-1.02,3
461,00BBGN,Newham,Green Street West,198.35,267.84,60.71,173.15,0.25,3.7,46.74,0.02,47.37,0.0,798.12,804.79,24.9,33.6,7.6,21.7,0.0,0.5,5.9,0.0,5.9,0.0,100.0,-0.83,3
462,00BBGP,Newham,Little Ilford,204.89,338.24,57.02,254.23,33.66,20.81,852.9,1.26,143.95,0.0,1906.96,1898.85,10.7,17.7,3.0,13.3,1.8,1.1,44.7,0.1,7.5,0.0,100.0,0.43,4
463,00BBGQ,Newham,Manor Park,201.55,343.3,50.79,213.17,28.51,12.37,390.34,0.0,79.94,0.0,1319.97,1349.51,15.3,26.0,3.8,16.1,2.2,0.9,29.6,0.0,6.1,0.0,100.0,-2.19,2
