"priceper","year","dateoftransfer","propertytype","duration","price","postcode","lad23cd","transactionid","lmk_key","tfarea","numberrooms","classt","CURRENT_ENERGY_EFFICIENCY","POTENTIAL_ENERGY_EFFICIENCY","CONSTRUCTION_AGE_BAND"
8783.78378378378,2014,2014-01-10,"F","L",325000,"E1 8RB","E09000001","{5150CDF1-2367-4166-9D73-B92541D7A416}","542124478352013091217474499970078",37,1,12,71,79,"England and Wales: 1976-1982"
1347.70889487871,1997,1997-02-14,"F","L",50000,"E1 8RB","E09000001","{2A289E9C-F564-CDC8-E050-A8C063054829}","542230568352010091909431099900979",37.1,1,12,84,88,"England and Wales: 1983-1990"
15094.3396226415,2015,2015-09-10,"F","L",800000,"EC2Y 5AG","E09000001","{23B6165D-CEB0-FCF4-E050-A8C0620577FA}","1186502688712014080615230394040928",53,NA,11,85,85,"NO DATA!"
12830.1886792453,2015,2015-03-18,"F","L",680000,"EC2Y 5AG","E09000001","{392A1BA8-DA9A-44D6-B855-370E29020DBA}","1186502688712014080615230394040928",53,NA,11,85,85,"NO DATA!"
2878.00687285223,1999,1999-12-17,"F","L",134000,"EC4V 3PL","E09000001","{3ED207B0-1F24-4A88-A3C9-E76AD7EB8A4D}","212932480922009011323221716978561",46.56,2,12,82,85,"England and Wales: 1996-2002"
5369.41580756014,2006,2006-03-24,"F","L",250000,"EC4V 3PL","E09000001","{39F35406-6917-4D74-B66B-547CBCEA65E8}","212932480922009011323221716978561",46.56,2,12,82,85,"England and Wales: 1996-2002"
7734.20479302832,2005,2005-06-27,"F","L",355000,"EC4A 1EP","E09000001","{082ADE4C-A1C5-4F06-8379-D03B3B8EF288}","739633369922012011614001044868302",45.9,2,11,74,80,"England and Wales: 2003-2006"
11170.2127659574,2021,2021-06-24,"F","L",525000,"EC1A 7HN","E09000001","{D4D42646-11C6-27F6-E053-6C04A8C0A572}","301911596132019062523395709268604",47,2,12,74,80,"England and Wales: 1900-1929"
13739.5777777778,2014,2014-12-09,"F","L",618281,"EC2Y 5AG","E09000001","{D71C0A23-3A6D-475C-BA2F-031E51AA1DF7}","1186364349602014080615214522640858",45,NA,12,85,85,"NO DATA!"
13250,2015,2015-02-17,"F","L",530000,"EC2Y 5AG","E09000001","{336DCCC8-6EEE-4E6A-B157-CCDBE18C1D2C}","1186466549142014080615135624640658",40,NA,12,83,83,"NO DATA!"
12340.9090909091,2015,2015-02-27,"F","L",814500,"EC2Y 5AG","E09000001","{6900D061-4B4E-49B4-BBE4-9F94ADCF5606}","1186433089022014080615155176258184",66,NA,12,85,85,"NO DATA!"
1538.46153846154,1996,1996-05-02,"F","L",70000,"E1 8RB","E09000001","{4EF1A765-ABD5-4D68-BA07-DFA527C3E7A1}","542081589922010091821081919788870",45.5,2,12,79,83,"England and Wales: 1983-1990"
7285.71428571429,2005,2005-06-27,"F","L",255000,"EC4A 1EP","E09000001","{790624D3-B645-4063-8B70-7762F93AE425}","1634342329902018052310574855882498",35,2,11,72,85,"England and Wales: 1996-2002"
11642.8571428571,2017,2017-02-17,"F","L",570500,"EC4V 3PL","E09000001","{4C4EDFFF-AAAA-1854-E050-A8C063054F34}","61e8aafe35611b9c1148d79930a6b0b180ecbca0156b247f382b5051c58a75f9",49,3,12,78,79,"England and Wales: 1996-2002"
3113.58831443398,1999,1999-12-17,"F","L",162000,"EC4V 3PL","E09000001","{157DB8C4-87A1-402D-A8AA-A539152D573C}","173600600262008102718212083738578",52.03,2,12,83,85,"England and Wales: 1996-2002"
5042.81636536632,2001,2001-07-17,"F","L",212000,"EC4V 3PL","E09000001","{2226C110-0794-4485-98E4-803E95EF10CA}","521875359502010080320550976800178",42.04,2,12,83,85,"England and Wales: 1996-2002"
4138.79638439581,2000,2000-01-07,"F","L",173995,"EC4V 3PL","E09000001","{0451EFE1-6BE4-42E0-B593-6283C31DB6D4}","521875359502010080320550976800178",42.04,2,12,83,85,"England and Wales: 1996-2002"
5114.17697431018,2002,2002-01-18,"F","L",215000,"EC4V 3PL","E09000001","{775C7304-900C-4D6D-98E3-6C2E35336D0B}","521875359502010080320550976800178",42.04,2,12,83,85,"England and Wales: 1996-2002"
7979.21862011638,2010,2010-06-21,"F","L",479950,"EC4A 1EP","E09000001","{830FD6A9-BB8D-4D9F-9A8D-7FB20D14E869}","450128687032010030609585439068702",60.15,2,12,62,63,"England and Wales: 2003-2006"
6068.16292601829,2005,2005-06-27,"F","L",365000,"EC4A 1EP","E09000001","{538BBB9A-4F37-4D91-89A4-4590B507C4C6}","450128687032010030609585439068702",60.15,2,12,62,63,"England and Wales: 2003-2006"
2968.75,2001,2001-01-19,"F","L",190000,"EC1Y 0ST","E09000001","{5B216DBF-2B47-4A34-B927-8799391238F9}","795359489762012053016442108808412",64,3,12,73,76,"England and Wales: 1950-1966"
717.5,1997,1997-11-17,"F","L",45920,"EC1Y 0ST","E09000001","{2A289E9C-E8C4-CDC8-E050-A8C063054829}","795359489762012053016442108808412",64,3,12,73,76,"England and Wales: 1950-1966"
4312.5,2003,2003-08-05,"F","L",138000,"EC3N 1AL","E09000001","{62F4D0EF-2F78-471B-914C-96B9F40711AF}","1383831949742015110922403449052528",32,1,12,19,36,"England and Wales: 1967-1975"
3695.65217391304,2000,2000-07-18,"F","L",170000,"EC4V 3PL","E09000001","{D95D0910-EFAE-4FB8-8CC2-449D7C0446F2}","174352200012013120321291792079357",46,2,11,78,79,"England and Wales: 1983-1990"
3304.34782608696,1999,1999-12-20,"F","L",152000,"EC4V 3PL","E09000001","{26F3E8CA-9062-4541-ACAC-85034A106796}","174352200012013120321291792079357",46,2,11,78,79,"England and Wales: 1983-1990"
3959.27601809955,2001,2001-07-26,"F","L",175000,"E1 8RB","E09000001","{468C0495-1186-44EF-9E61-91709F679633}","539304989002010091320315479909678",44.2,2,12,77,82,"England and Wales: 1991-1995"
2087.91208791209,1998,1998-01-16,"F","L",95000,"E1 8RB","E09000001","{912752CB-A001-42B4-AB6B-400961C55A1D}","122483719702010091821025848909688",45.5,2,11,77,81,"England and Wales: 1983-1990"
859.106529209622,1995,1995-09-21,"F","L",35000,"EC1Y 0RE","E09000001","{2A289E9E-8438-CDC8-E050-A8C063054829}","495747369242010060811211174600938",40.74,1,12,71,71,"England and Wales: 1950-1966"
5702.47933884298,2006,2006-08-04,"F","L",345000,"EC1A 7HN","E09000001","{C79095FD-C887-491B-BF89-A08A2D331D20}","281105715132009061719030438968303",60.5,3,11,63,65,"England and Wales: 1996-2002"
7851.23966942149,2010,2010-03-17,"F","L",475000,"EC1A 7HN","E09000001","{2A4067C3-6BEA-4B82-A018-04D4DF4C0012}","281105715132009061719030438968303",60.5,3,11,63,65,"England and Wales: 1996-2002"
3512.39669421488,2000,2000-02-29,"F","L",212500,"EC1A 7HN","E09000001","{7C002425-17B0-4591-9556-587E295E7DD9}","281105715132009061719030438968303",60.5,3,11,63,65,"England and Wales: 1996-2002"
5480.76923076923,2001,2001-11-30,"F","L",285000,"EC1A 7HN","E09000001","{2B98BAA6-345F-4E83-BD7F-E8A5C1F2CFCA}","790869760452012052400295395220995",52,2,12,73,76,"England and Wales: 1900-1929"
3519.23076923077,1999,1999-03-26,"F","L",183000,"EC1A 7HN","E09000001","{B0B33E6B-E1E5-4F4D-BB4C-49A8B7F3CA02}","790869760452012052400295395220995",52,2,12,73,76,"England and Wales: 1900-1929"
4758.62068965517,2003,2003-08-05,"F","L",138000,"EC3N 1AL","E09000001","{E688B963-4114-453F-9987-5F34B59400C0}","1383759549942015111510014444050788",29,1,12,35,59,"England and Wales: 1967-1975"
2708.33333333333,1999,1999-12-17,"F","L",130000,"EC4V 3PL","E09000001","{40AD6E31-4EA7-47C1-A30F-CDC2582F675F}","891220822732013030112032478278209",48,2,11,79,81,"England and Wales: 1996-2002"
7656.25,2008,2008-01-25,"F","L",367500,"EC4V 3PL","E09000001","{96CCC987-AE3F-454C-B290-42224FB7F8FC}","891220822732013030112032478278209",48,2,11,79,81,"England and Wales: 1996-2002"
9916.5625,2014,2014-04-11,"F","L",475995,"EC4V 3PL","E09000001","{07A4E756-7710-43FF-B254-033F3D030DFA}","891220822732013030112032478278209",48,2,11,79,81,"England and Wales: 1996-2002"
8681.31868131868,2019,2019-06-14,"F","L",395000,"E1 8RB","E09000001","{8F1B26BD-45AE-53DB-E053-6C04A8C03649}","542062689922010091821180349788050",45.5,2,11,79,83,"England and Wales: 1983-1990"
14500,2014,2014-11-25,"F","L",551000,"EC2Y 5AG","E09000001","{78C7E3EB-3EF2-4834-A9D1-E16882B4258D}","1185896148312014080615210294040025",38,NA,12,84,84,"NO DATA!"
2988.83120969011,1999,1999-05-26,"F","L",190000,"EC1A 7HN","E09000001","{09B5F743-67BA-4AB2-AC4B-D0CAE663EE0C}","271166044132009042216244117268408",63.57,2,12,79,85,"England and Wales: 1976-1982"
4406.77966101695,1998,1998-04-17,"F","L",260000,"EC4V 5DE","E09000001","{9D9DAAA4-1DC2-4C1F-BD8A-E62EF2D817BB}","971dad12d31eb3037aed1b09530c3e081479359fe2e5c932b1d4bf86b005814f",59,3,11,71,82,"England and Wales: before 1900"
13028.431372549,2015,2015-01-28,"F","L",664450,"EC2Y 5AG","E09000001","{A193DB70-9657-4568-B491-05747C991FCB}","1186138168352014080615183094040422",51,NA,12,85,85,"NO DATA!"
2857.14285714286,2000,2000-03-31,"F","L",130000,"E1 8RB","E09000001","{4B0454B3-C246-469E-9AC7-AF6204A0CD31}","125518419002010091822500143909088",45.5,2,12,83,86,"England and Wales: 1983-1990"
1538.46153846154,1996,1996-05-02,"F","L",70000,"E1 8RB","E09000001","{F36189C6-0A90-4FBD-936F-D1EF71973054}","542049041032010091821131136968802",45.5,2,12,79,83,"England and Wales: 1983-1990"
13518.5185185185,2014,2014-12-19,"F","L",730000,"EC2Y 5AG","E09000001","{EDF14388-4D26-4D04-B08E-41D58618ABC1}","1186409328852014080615231294040823",54,NA,11,85,85,"NO DATA!"
5186.23290900519,2003,2003-09-17,"F","L",220000,"EC4V 3PL","E09000001","{25EDAB7E-4984-44A2-873A-4CB7441EBD5E}","243236000922009031107335159608411",42.42,2,12,83,84,"England and Wales: 1996-2002"
4148.98632720415,2000,2000-02-18,"F","L",176000,"EC4V 3PL","E09000001","{06C7A3B4-1AD4-4BF8-A000-E4E0944822B5}","243236000922009031107335159608411",42.42,2,12,83,84,"England and Wales: 1996-2002"
7034.32751828925,2005,2005-06-24,"F","L",250000,"EC4A 1EP","E09000001","{EFAB7F99-ACAC-4BDE-968B-11E814BD93EC}","505870249902010062812544072702588",35.54,2,11,70,86,"England and Wales: 2003-2006"
6405.4054054054,2005,2005-11-03,"F","L",237000,"EC3R 8DR","E09000001","{B19508B7-99A4-460E-AFAD-280C57FE36C0}","c53c9058deb7d9865e8dd1e1651af61fce267769c4ef10f37372dc4a0d85e3c9",37,2,11,54,79,"England and Wales: 1930-1949"
